disease,symptom,disease_umls,symptom_umls,weight
"Diabetes Mellitus, Non-Insulin-Dependent",Overweight,C0011860,C0497406,1
"Diabetes Mellitus, Non-Insulin-Dependent",Polyuria,C0011860,C0032617,1
"Diabetes Mellitus, Non-Insulin-Dependent",Proteinuria,C0011860,C0033687,1
"Diabetes Mellitus, Non-Insulin-Dependent",Underweight,C0011860,C0041667,1
"Diabetes Mellitus, Non-Insulin-Dependent",Weight Gain,C0011860,C0043094,1
"Diabetes Mellitus, Non-Insulin-Dependent",Weight Loss,C0011860,C1262477,1
Diabetes with coma (disorder),"Abdomen, Acute",C1263960,C0000727,1
Diabetes with coma (disorder),"Aphasia, Semantic",C1263960,C0234482,1
Diabetes with coma (disorder),"Hemiplegia, Infantile",C1263960,C0392550,1
Diabetes with coma (disorder),"Hypothermia, Accidental",C1263960,C0274285,1
Diabetes with coma (disorder),"Myoclonus, Intention",C1263960,C0021712,1
Diabetes with coma (disorder),Nonepileptic Seizures,C1263960,C3495874,1
Diabetes with coma (disorder),Obesity,C1263960,C0028754,1
Diabetes with coma (disorder),Polyuria,C1263960,C0032617,1
Diabetes with coma (disorder),Psychogenic coma,C1263960,C0860634,1
Diabetes with coma (disorder),Quadriparesis,C1263960,C0270790,1
Diabetic Asymmetric Polyneuropathy,Albuminuria,C0393835,C0001925,1
Diabetic Asymmetric Polyneuropathy,Allodynia,C0393835,C0458247,1
Diabetic Asymmetric Polyneuropathy,Dysesthesia,C0393835,C0392699,1
Diabetic Asymmetric Polyneuropathy,Gastroparesis,C0393835,C0152020,1
Diabetic Asymmetric Polyneuropathy,Muscular Atrophy,C0393835,C0026846,1
Diabetic Asymmetric Polyneuropathy,Neuralgia,C0393835,C0027796,1
Diabetic Asymmetric Polyneuropathy,Neurogenic Urinary Bladder,C0393835,C0005697,1
Diabetic Asymmetric Polyneuropathy,"Pain, Splitting",C0393835,C0458257,1
Diabetic Asymmetric Polyneuropathy,Postherpetic neuralgia,C0393835,C0032768,1
Diabetic Asymmetric Polyneuropathy,"Reflex, Pendular",C0393835,C0277850,1
Diabetic Cardiomyopathies,Body Weight,C0853897,C0005910,1
Diabetic Cardiomyopathies,Obesity,C0853897,C0028754,1
Diabetic Cardiomyopathies,Overweight,C0853897,C0497406,1
Diabetic Ketoacidosis,"Abdomen, Acute",C0011880,C0000727,1
Diabetic Ketoacidosis,Abdominal Pain,C0011880,C0000737,3
Diabetic Ketoacidosis,Abdominal tenderness,C0011880,C0232498,1
Diabetic Ketoacidosis,Disorientation,C0011880,C0233407,1
Diabetic Ketoacidosis,Feeling strange,C0011880,C0235129,1
Diabetic Ketoacidosis,Fetal Distress,C0011880,C0015930,1
Diabetic Ketoacidosis,Gurgling,C0011880,C0232517,1
Diabetic Ketoacidosis,Hyperventilation,C0011880,C0020578,1
Diabetic Ketoacidosis,Hypocapnia,C0011880,C0085383,1
Diabetic Ketoacidosis,"Hypothermia, Accidental",C0011880,C0274285,1
Diabetic Ketoacidosis,Milky,C0011880,C0443260,1
Diabetic Ketoacidosis,Nausea,C0011880,C0027497,1
Diabetic Ketoacidosis,Nervousness,C0011880,C0027769,1
Diabetic Ketoacidosis,Obesity,C0011880,C0028754,1
Diabetic Ketoacidosis,Polyuria,C0011880,C0032617,3
Diabetic Ketoacidosis,Psychogenic coma,C0011880,C0860634,1
Diabetic Ketoacidosis,Regurgitates after swallowing,C0011880,C0232605,1
Diabetic Ketoacidosis,Vomiting,C0011880,C0042963,3
Diabetic Retinopathy,Albuminuria,C0011884,C0001925,1
Diabetic Retinopathy,Blindness both eyes NOS (disorder),C0011884,C1879328,1
Diabetic Retinopathy,"Color Blindness, Red",C0011884,C0155015,1
Diabetic Retinopathy,Edema,C0011884,C0013604,1
Diabetic Retinopathy,Low Vision,C0011884,C0042798,1
Diabetic Retinopathy,Obesity,C0011884,C0028754,1
Diabetic Retinopathy,Proteinuria,C0011884,C0033687,1
Diabetic Retinopathy,Pseudophakia,C0011884,C0684343,1
Diabetic Retinopathy,"Scotoma, Paracecal",C0011884,C0544679,1
Diabetic Retinopathy,Visual Impairment,C0011884,C3665347,1
Diabetic foot ulcer,Albuminuria,C1456868,C0001925,1
Diabetic foot ulcer,Edema,C1456868,C0013604,1
Diabetic foot ulcer,"Gait, Festinating",C1456868,C0231694,1
Diabetic foot ulcer,Hypesthesia,C1456868,C0020580,1
Diabetic foot ulcer,Intermittent Claudication,C1456868,C0021775,1
Diabetic foot ulcer,Metatarsalgia,C1456868,C0025587,1
Diabetic foot ulcer,Mobility Limitation,C1456868,C1565249,1
Diabetic foot ulcer,"Pain, Splitting",C1456868,C0458257,1
Diabetic foot ulcer,Pinprick Sensation Diminished,C1456868,C0752257,1
Diabetic foot ulcer,Tinea Pedis,C1456868,C0040259,1
"Diagnosis, Psychiatric",Bipolar Disorder,C0376338,C0005586,1
"Diagnosis, Psychiatric",Depressive Symptoms,C0376338,C0086132,1
"Diagnosis, Psychiatric",Nervousness,C0376338,C0027769,1
"Diagnosis, Psychiatric",Paranoia,C0376338,C1456784,1
"Diagnosis, Psychiatric",Psychomotor Agitation,C0376338,C3887612,1
Diaper Rash,Blindness both eyes NOS (disorder),C0011974,C1879328,1
Diaper Rash,Diarrhea,C0011974,C0011991,1
Diaper Rash,Fever,C0011974,C0015967,1
Diaper Rash,Infantile Diarrhea,C0011974,C0011992,1
Diaper Rash,Urinary Incontinence,C0011974,C0042024,1
Diaper Rash,Vomiting,C0011974,C0042963,1
Diaphragmatic Eventration,Chest Pain,C0011981,C0008031,1
Diaphragmatic Eventration,Coughing,C0011981,C0010200,1
Diaphragmatic Eventration,Cyanosis,C0011981,C0010520,1
Diaphragmatic Eventration,Hiccough,C0011981,C0019521,1
Diaphragmatic Eventration,"Hydrops Fetalis, Non-Immune",C0011981,C0455988,1
Diaphragmatic Eventration,Hypoventilation,C0011981,C3203358,1
Diaphragmatic Eventration,Myocardial Preinfarction Syndrome,C0011981,C0086666,1
Diaphragmatic Eventration,Orthopnea,C0011981,C0085619,1
Diaphragmatic Eventration,Respiratory Paralysis,C0011981,C0035232,1
Diaphragmatic Eventration,Vomiting,C0011981,C0042963,1
Diaphragmatic Hernia,"Abdomen, Acute",C0019284,C0000727,1
Diaphragmatic Hernia,Abdominal Pain,C0019284,C0000737,1
Diaphragmatic Hernia,Angina Pectoris,C0019284,C0002962,1
Diaphragmatic Hernia,Birth Weight,C0019284,C0005612,1
Diaphragmatic Hernia,Coughing,C0019284,C0010200,1
Diaphragmatic Hernia,Cyanosis,C0019284,C0010520,1
Diaphragmatic Hernia,Heartburn,C0019284,C0018834,1
Diaphragmatic Hernia,Hematemesis,C0019284,C0018926,1
Diaphragmatic Hernia,Orthopnea,C0019284,C0085619,1
Diaphragmatic Hernia,Vomiting,C0019284,C0042963,1
Diarrhetic Shellfish Poisoning,Todd Paralysis,C2717988,C0234544,1
Dicrocoeliasis,Diarrhea,C0012102,C0011991,1
Dicrocoeliasis,Weight Loss,C0012102,C1262477,1
Dictyocaulus Infections,Body Weight,C0012118,C0005910,1
Dictyocaulus Infections,Coughing,C0012118,C0010200,1
Dictyocaulus Infections,Weight Gain,C0012118,C0043094,1
Dientamoeba fragilis Infection,Abdominal Pain,C0276791,C0000737,1
Dientamoeba fragilis Infection,Colonic Inertia,C0276791,C1257861,1
Dientamoeba fragilis Infection,Diarrhea,C0276791,C0011991,1
Dientamoeba fragilis Infection,Nausea,C0276791,C0027497,1
Dientamoeba fragilis Infection,"Pain, Splitting",C0276791,C0458257,1
Diffuse Axonal Injury,Age-Related Memory Disorders,C0752219,C0751292,1
Diffuse Axonal Injury,Amnesia,C0752219,C0002622,1
Diffuse Axonal Injury,Decorticate State,C0752219,C0751070,1
Diffuse Axonal Injury,"Gait, Festinating",C0752219,C0231694,1
Diffuse Axonal Injury,Hyperkinesia,C0752219,C3887506,1
Diffuse Axonal Injury,Muscle Spasticity,C0752219,C0026838,1
Diffuse Axonal Injury,Pill Rolling Tremor,C0752219,C0751564,1
Diffuse Axonal Injury,Psychogenic coma,C0752219,C0860634,1
Diffuse Axonal Injury,Unconscious State,C0752219,C0041657,1
Diffuse Axonal Injury,Vegetative State,C0752219,C0917808,1
Diffuse Cerebral Sclerosis of Schilder,"Ataxia, Appendicular",C0007795,C0750937,1
Diffuse Cerebral Sclerosis of Schilder,Blindness both eyes NOS (disorder),C0007795,C1879328,1
Diffuse Cerebral Sclerosis of Schilder,Decorticate State,C0007795,C0751070,1
Diffuse Cerebral Sclerosis of Schilder,Dysglossia,C0007795,C0751512,1
Diffuse Cerebral Sclerosis of Schilder,Eye Manifestations,C0007795,C0015411,1
Diffuse Cerebral Sclerosis of Schilder,Muscle Spasticity,C0007795,C0026838,1
Diffuse Cerebral Sclerosis of Schilder,"Myoclonus, Intention",C0007795,C0021712,1
Diffuse Cerebral Sclerosis of Schilder,Nonepileptic Seizures,C0007795,C3495874,1
Diffuse Cerebral Sclerosis of Schilder,"Paraplegia, Cerebral",C0007795,C0278114,1
Diffuse Cerebral Sclerosis of Schilder,Psychomotor Impairment,C0007795,C5441816,1
Diffuse Large B-Cell Lymphoma,Abdominal Pain,C0079744,C0000737,1
Diffuse Large B-Cell Lymphoma,Dysesthesia,C0079744,C0392699,1
Diffuse Large B-Cell Lymphoma,Fever,C0079744,C0015967,1
Diffuse Large B-Cell Lymphoma,Fever of Unknown Origin,C0079744,C0015970,1
Diffuse Large B-Cell Lymphoma,Hypergammaglobulinemia,C0079744,C0020455,1
Diffuse Large B-Cell Lymphoma,Internal Ophthalmoplegia,C0079744,C0339693,1
Diffuse Large B-Cell Lymphoma,"Jaundice, Hemolytic",C0079744,C0242183,1
Diffuse Large B-Cell Lymphoma,"Jaundice, Obstructive",C0079744,C0022354,1
Diffuse Large B-Cell Lymphoma,Orthopnea,C0079744,C0085619,1
Diffuse Large B-Cell Lymphoma,Weight Loss,C0079744,C1262477,1
Diffuse Neurofibrillary Tangles with Calcification,Age-Related Memory Disorders,C2717758,C0751292,1
Diffuse Scleroderma,Arthralgia,C1258104,C0003862,1
Diffuse Scleroderma,Colonic Inertia,C1258104,C1257861,1
Diffuse Scleroderma,Diarrhea,C1258104,C0011991,1
Diffuse Scleroderma,Edema,C1258104,C0013604,1
Diffuse Scleroderma,Eye Manifestations,C1258104,C0015411,1
Diffuse Scleroderma,Familial Thrombotic Thrombocytopenic Purpura,C1258104,C1956258,1
Diffuse Scleroderma,Heartburn,C1258104,C0018834,1
Diffuse Scleroderma,Hypergammaglobulinemia,C1258104,C0020455,1
Diffuse Scleroderma,Orthopnea,C1258104,C0085619,1
Diffuse Scleroderma,Proteinuria,C1258104,C0033687,1
Digestive System Fistula,Abdominal Pain,C0079238,C0000737,1
Digestive System Fistula,Chest Pain,C0079238,C0008031,1
Digestive System Fistula,Coughing,C0079238,C0010200,1
Dihydropyrimidine Dehydrogenase Deficiency,Diarrhea,C1959620,C0011991,1
Dihydropyrimidine Dehydrogenase Deficiency,Vomiting,C1959620,C0042963,1
Dipetalonema Infections,Body Weight,C0012517,C0005910,1
Dipetalonema Infections,Edema,C0012517,C0013604,1
Dipetalonema Infections,"Hypothermia, Accidental",C0012517,C0274285,1
Diphtheria due to Corynebacterium diphtheriae,Fever,C1301422,C0015967,2
Diphtheria due to Corynebacterium diphtheriae,Halitosis,C1301422,C0018520,1
Diphtheria due to Corynebacterium diphtheriae,"Hemiplegia, Infantile",C1301422,C0392550,1
Diphtheria due to Corynebacterium diphtheriae,Internal Ophthalmoplegia,C1301422,C0339693,1
Diphtheria due to Corynebacterium diphtheriae,Muscular Atrophy,C1301422,C0026846,1
Diphtheria due to Corynebacterium diphtheriae,Presbycusis,C1301422,C0033074,1
Diphtheria due to Corynebacterium diphtheriae,Recurrent Laryngeal Nerve Paralysis,C1301422,C0542142,1
Diphtheria due to Corynebacterium diphtheriae,"Reflex, Pendular",C1301422,C0277850,1
Diphtheria due to Corynebacterium diphtheriae,Respiratory Paralysis,C1301422,C0035232,1
Diphtheria due to Corynebacterium diphtheriae,Todd Paralysis,C1301422,C0234544,1
Diphyllobothriasis,Abdominal Pain,C0012561,C0000737,1
Diphyllobothriasis,Body Weight,C0012561,C0005910,1
Diphyllobothriasis,Diarrhea,C0012561,C0011991,1
Diphyllobothriasis,Nausea,C0012561,C0027497,1
"Diplopia, Refractive","Amblyopia, Suppression",C0271186,C0750903,1
"Diplopia, Refractive",Central Nervous System Origin Vertigo,C0271186,C0155503,1
"Diplopia, Refractive",Facial paralysis,C0271186,C0015469,1
"Diplopia, Refractive","Hemianopsia, Homonymous",C0271186,C0271202,1
"Diplopia, Refractive",Hemicrania,C0271186,C0877781,1
"Diplopia, Refractive","Horner Syndrome, Acquired",C0271186,C0751203,1
"Diplopia, Refractive",Internal Ophthalmoplegia,C0271186,C0339693,1
"Diplopia, Refractive",Lightheadedness,C0271186,C0220870,1
"Diplopia, Refractive",Todd Paralysis,C0271186,C0234544,1
"Diplopia, Refractive",Visual Impairment,C0271186,C3665347,1
Dirofilariasis,Apnea,C0012602,C0003578,1
Dirofilariasis,Cachexia,C0012602,C0006625,1
Dirofilariasis,Edema,C0012602,C0013604,1
Dirofilariasis,"Edema, Cardiac",C0012602,C0013608,1
Dirofilariasis,Hemoglobinuria,C0012602,C0019048,1
Dirofilariasis,Hemoptysis,C0012602,C0019079,1
Dirofilariasis,Innocent Murmurs,C0012602,C0232255,1
Dirofilariasis,Orthopnea,C0012602,C0085619,1
Dirofilariasis,Presyncope,C0012602,C0700200,1
Dirofilariasis,Pruritus,C0012602,C0033774,1
Discitis,Fever,C0012624,C0015967,1
Discitis,Fever of Unknown Origin,C0012624,C0015970,1
Discitis,Neck Pain,C0012624,C0007859,1
Discitis,"Pain, Postoperative",C0012624,C0030201,1
Discitis,"Paraplegia, Cerebral",C0012624,C0278114,1
Discitis,Quadriparesis,C0012624,C0270790,1
Discitis,Recurrent Low Back Pain,C0012624,C0751648,1
Discitis,Sciatica,C0012624,C0036396,1
Discitis,Spasmodic torticollis,C0012624,C0152116,1
Discitis,Vertebrogenic Pain Syndrome,C0012624,C0750949,1
Discrete Subaortic Stenosis,Lassitude,C0012628,C0086525,1
Discrete Subaortic Stenosis,Orthopnea,C0012628,C0085619,1
Discrete Subaortic Stenosis,Presyncope,C0012628,C0700200,1
Disease,Birth Weight,C0012634,C0005612,1
Disease,Cheyne-Stokes Respiration,C0012634,C0008039,1
Disease,Fever,C0012634,C0015967,1
Disease,Obesity,C0012634,C0028754,1
Disease,Oral Manifestations,C0012634,C0029166,1
Disease,"Pain, Splitting",C0012634,C0458257,1
Disease,Psychophysiologic Disorders,C0012634,C0033931,1
Disease,Subacute Delirium,C0012634,C0154333,1
Disease,Sweating Sickness,C0012634,C0242843,1
Disease,Toothache,C0012634,C0040460,1
Disease due to Papilloma virus,Disorientation,C0950124,C0233407,1
Disease due to Papilloma virus,Earache,C0950124,C0013456,1
Disease due to Papilloma virus,Fever,C0950124,C0015967,1
Disease due to Papilloma virus,Hemicrania,C0950124,C0877781,1
Disease due to Papilloma virus,Lassitude,C0950124,C0086525,1
Disease due to Papilloma virus,Muscle Weakness,C0950124,C0151786,1
Disease due to Papilloma virus,Neurogenic Hoarseness,C0950124,C0751201,1
Disease due to Papilloma virus,"Pain, Splitting",C0950124,C0458257,1
Disease due to Papilloma virus,Paresis,C0950124,C0030552,1
Disease due to Papilloma virus,"Voice Disorder, Neurologic",C0950124,C0264600,1
Disease due to Parvoviridae,Arthralgia,C0276275,C0003862,1
Disease due to Parvoviridae,Benign Hereditary Chorea,C0276275,C0393584,1
Disease due to Parvoviridae,Diarrhea,C0276275,C0011991,1
Disease due to Parvoviridae,Edema,C0276275,C0013604,1
Disease due to Parvoviridae,Fever,C0276275,C0015967,1
Disease due to Parvoviridae,"Hydrops Fetalis, Non-Immune",C0276275,C0455988,1
Disease due to Parvoviridae,Immune thrombocytopenic purpura,C0276275,C0398650,1
Disease due to Parvoviridae,Pleural Rub,C0276275,C0032230,1
Disease due to Parvoviridae,Purpura,C0276275,C0034150,1
Disease due to Parvoviridae,Thrombocytopenic purpura,C0276275,C0857305,1
Disease susceptibility,Acoustic Trauma,C0012655,C1148522,1
Disease susceptibility,Age-Related Memory Disorders,C0012655,C0751292,1
Disease susceptibility,Birth Weight,C0012655,C0005612,1
Disease susceptibility,Body Weight,C0012655,C0005910,1
Disease susceptibility,Motion Sickness,C0012655,C0026603,1
Disease susceptibility,Nonepileptic Seizures,C0012655,C3495874,1
Disease susceptibility,Obesity,C0012655,C0028754,1
Disease susceptibility,Psychophysiologic Disorders,C0012655,C0033931,1
Disease susceptibility,REM Sleep Deprivation,C0012655,C0751506,1
Disease susceptibility,Underweight,C0012655,C0041667,1
Diseases in Twins,Alexia,C0012675,C0002018,1
Diseases in Twins,"Auditory Processing Disorder, Central",C0012675,C0751257,1
Diseases in Twins,Birth Weight,C0012675,C0005612,1
Diseases in Twins,Bulimia,C0012675,C0006370,1
Diseases in Twins,Fetal Distress,C0012675,C0015930,1
Diseases in Twins,Fetal Weight,C0012675,C0751992,1
Diseases in Twins,"Hearing Loss, Extreme",C0012675,C0086395,1
Diseases in Twins,"Hydrops Fetalis, Non-Immune",C0012675,C0455988,1
Diseases in Twins,Obesity,C0012675,C0028754,1
Diseases in Twins,Psychomotor Impairment,C0012675,C5441816,1
Disorders of Porphyrin Metabolism,"Abdomen, Acute",C0032708,C0000727,1
Disorders of Porphyrin Metabolism,Abdominal Cramps,C0032708,C0000729,1
Disorders of Porphyrin Metabolism,Abdominal Pain,C0032708,C0000737,1
Disorders of Porphyrin Metabolism,Colonic Inertia,C0032708,C1257861,1
Disorders of Porphyrin Metabolism,"Hallucinations, Kinesthetic",C0032708,C0544668,1
Disorders of Porphyrin Metabolism,"Jaundice, Hemolytic",C0032708,C0242183,1
Disorders of Porphyrin Metabolism,Nonepileptic Seizures,C0032708,C3495874,1
Disorders of Porphyrin Metabolism,"Pain, Splitting",C0032708,C0458257,1
Disorders of Porphyrin Metabolism,Quadriparesis,C0032708,C0270790,1
Disorders of Porphyrin Metabolism,Skin Manifestations,C0032708,C0037285,1
Disorientation,Age-Related Memory Disorders,C0233407,C0751292,1
Disorientation,Amnesia,C0233407,C0002622,1
Disorientation,"Hallucinations, Kinesthetic",C0233407,C0544668,1
Disorientation,Hemicrania,C0233407,C0877781,1
Disorientation,"Illusions, Visual",C0233407,C0751246,1
Disorientation,Nonepileptic Seizures,C0233407,C3495874,1
Disorientation,Pseudoakathisia,C0233407,C0751647,1
Disorientation,Psychogenic coma,C0233407,C0860634,1
Disorientation,Psychomotor Agitation,C0233407,C3887612,1
Disorientation,Subacute Delirium,C0233407,C0154333,1
Dissection of aorta,Abdominal Pain,C0340643,C0000737,1
Dissection of aorta,Acute Coronary Syndrome,C0340643,C0948089,1
Dissection of aorta,Angina Pectoris,C0340643,C0002962,1
Dissection of aorta,Chest Pain,C0340643,C0008031,1
Dissection of aorta,Hemicrania,C0340643,C0877781,1
Dissection of aorta,"Horner Syndrome, Acquired",C0340643,C0751203,1
Dissection of aorta,Intermittent Claudication,C0340643,C0021775,1
Dissection of aorta,Myocardial Preinfarction Syndrome,C0340643,C0086666,1
Dissection of aorta,"Paraplegia, Cerebral",C0340643,C0278114,1
Dissection of aorta,Vertebrogenic Pain Syndrome,C0340643,C0750949,1
Disseminated Intravascular Coagulation,Chest Pain,C0012739,C0008031,1
Disseminated Intravascular Coagulation,Ecchymosis,C0012739,C0013491,1
Disseminated Intravascular Coagulation,Familial Thrombotic Thrombocytopenic Purpura,C0012739,C1956258,1
Disseminated Intravascular Coagulation,Fever,C0012739,C0015967,1
Disseminated Intravascular Coagulation,Hemoglobinuria,C0012739,C0019048,1
Disseminated Intravascular Coagulation,Hemorrhage,C0012739,C0019080,1
Disseminated Intravascular Coagulation,"Hypothermia, Accidental",C0012739,C0274285,1
Disseminated Intravascular Coagulation,Oral Hemorrhage,C0012739,C0029163,1
Disseminated Intravascular Coagulation,Orthopnea,C0012739,C0085619,1
Disseminated Intravascular Coagulation,Purpura,C0012739,C0034150,1
Disseminated Intravascular Coagulation,Purpura Fulminans,C0012739,C0085650,1
Disseminated Intravascular Coagulation,Thrombocytopenic purpura,C0012739,C0857305,1
Disseminated Intravascular Coagulation,"Waterhouse-Friderichsen Syndrome, Meningococcal",C0012739,C1403891,1
Dissociative Hysteria,Age-Related Memory Disorders,C0020703,C0751292,1
Dissociative Hysteria,Amnesia,C0020703,C0002622,1
Dissociative Hysteria,"Aphasia, Semantic",C0020703,C0234482,1
Dissociative Hysteria,Bulimia,C0020703,C0006370,1
Dissociative Hysteria,"Hallucinations, Kinesthetic",C0020703,C0544668,1
Dissociative Hysteria,Hemisensory Neglect,C0020703,C0751418,1
Dissociative Hysteria,Mutism,C0020703,C0026884,1
Dissociative Hysteria,Nonepileptic Seizures,C0020703,C3495874,1
Dissociative Hysteria,Psychophysiologic Disorders,C0020703,C0033931,1
Dissociative Hysteria,Retrograde amnesia,C0020703,C0002624,1
Distal Muscular Dystrophies,Bradykinesia,C0751336,C0233565,1
Distal Muscular Dystrophies,Dystonia,C0751336,C0013421,1
Distal Muscular Dystrophies,"Gait, Festinating",C0751336,C0231694,1
Distal Muscular Dystrophies,Hyperkinetic Dysphonia,C0751336,C0454545,1
Distal Muscular Dystrophies,Lassitude,C0751336,C0086525,1
Distal Muscular Dystrophies,Muscle Weakness,C0751336,C0151786,1
Distal Muscular Dystrophies,Muscular Atrophy,C0751336,C0026846,1
Distorted hearing,Acoustic Trauma,C0877848,C1148522,1
Distorted hearing,"Auditory Processing Disorder, Central",C0877848,C0751257,1
Distorted hearing,Central Nervous System Origin Vertigo,C0877848,C0155503,1
Distorted hearing,Conductive hearing loss,C0877848,C0018777,1
Distorted hearing,Dysglossia,C0877848,C0751512,1
Distorted hearing,"Hearing Loss, Extreme",C0877848,C0086395,1
Distorted hearing,Lightheadedness,C0877848,C0220870,1
Distorted hearing,Presbycusis,C0877848,C0033074,1
Distorted hearing,Sensorineural Hearing Loss (disorder),C0877848,C0018784,1
Distorted hearing,"Tinnitus, Tensor Palatini Induced",C0877848,C0751557,1
Diurnal Enuresis,Colonic Inertia,C0270328,C1257861,1
Diurnal Enuresis,Functional encopresis,C0270328,C0014089,1
Diurnal Enuresis,Muscle Weakness,C0270328,C0151786,1
Diurnal Enuresis,Neurogenic Urinary Bladder,C0270328,C0005697,1
Diurnal Enuresis,Paresis,C0270328,C0030552,1
Diurnal Enuresis,Urge Incontinence,C0270328,C0150045,1
Diverticular disease of colon,Abdominal Pain,C0012819,C0000737,1
Diverticular disease of colon,Colonic Inertia,C0012819,C1257861,1
Diverticular disease of colon,Diarrhea,C0012819,C0011991,1
Diverticular disease of colon,Fever,C0012819,C0015967,1
Diverticular disease of colon,Flatulence,C0012819,C0016204,1
Diverticular disease of colon,Muscle Cramp,C0012819,C0026821,1
Diverticular disease of colon,Obesity,C0012819,C0028754,1
Diverticular disease of colon,"Pain, Splitting",C0012819,C0458257,1
Diverticular disease of colon,Psychogenic coma,C0012819,C0860634,1
Diverticulitis,"Abdomen, Acute",C0012813,C0000727,1
Diverticulitis,Abdominal Pain,C0012813,C0000737,3
Diverticulitis,Bacterial Abscess,C0012813,C0549483,1
Diverticulitis,Colonic Inertia,C0012813,C1257861,2
Diverticulitis,Diarrhea,C0012813,C0011991,3
Diverticulitis,Dullness,C0012813,C0541911,1
Diverticulitis,Dysuria,C0012813,C0013428,1
Diverticulitis,Fever,C0012813,C0015967,2
Diverticulitis,Fever of Unknown Origin,C0012813,C0015970,1
Diverticulitis,Flatulence,C0012813,C0016204,1
Diverticulitis,Nausea,C0012813,C0027497,2
Diverticulitis,Obesity,C0012813,C0028754,1
Diverticulitis,Pain,C0012813,C0030193,1
Diverticulitis,Red blotches,C0012813,C0857199,1
Diverticulitis,Sinus rhythm,C0012813,C0232201,1
Diverticulitis,Sore to touch,C0012813,C0234233,1
Diverticulitis,Vomiting,C0012813,C0042963,2
Diverticulosis,"Abdomen, Acute",C1510475,C0000727,1
Diverticulosis,Abdominal Pain,C1510475,C0000737,1
Diverticulosis,Bacterial Abscess,C1510475,C0549483,1
Diverticulosis,Colonic Inertia,C1510475,C1257861,1
Diverticulosis,Constipation,C1510475,C0009806,1
Diverticulosis,Diarrhea,C1510475,C0011991,2
Diverticulosis,Faecaluria,C1510475,C1167754,1
Diverticulosis,Hematemesis,C1510475,C0018926,1
Diverticulosis,Hemorrhage,C1510475,C0019080,1
Diverticulosis,Lightheadedness,C1510475,C0220870,1
Diverticulosis,Neurogenic Urinary Bladder,C1510475,C0005697,1
Diverticulosis,Pain,C1510475,C0030193,1
Diverticulosis,"Paraplegia, Cerebral",C1510475,C0278114,1
Diverticulosis,Pneumatouria,C1510475,C0232894,1
Diverticulosis,Projectile vomiting,C1510475,C0221151,1
Diverticulosis,"Tinnitus, Tensor Palatini Induced",C1510475,C0751557,1
Diverticulosis,Urinary Incontinence,C1510475,C0042024,1
Diverticulosis,Urinary Stress Incontinence,C1510475,C0042025,1
Diverticulosis,heme positive,C1510475,C0744740,1
"Down Syndrome, Partial Trisomy 21",Acquired Language Disorders,C0432416,C0454560,1
"Down Syndrome, Partial Trisomy 21",Age-Related Memory Disorders,C0432416,C0751292,1
"Down Syndrome, Partial Trisomy 21","Auditory Processing Disorder, Central",C0432416,C0751257,1
"Down Syndrome, Partial Trisomy 21",Birth Weight,C0432416,C0005612,1
"Down Syndrome, Partial Trisomy 21",Conductive hearing loss,C0432416,C0018777,1
"Down Syndrome, Partial Trisomy 21",Distorted hearing,C0432416,C0877848,1
"Down Syndrome, Partial Trisomy 21",Dysglossia,C0432416,C0751512,1
"Down Syndrome, Partial Trisomy 21",Flaccid Muscle Tone,C0432416,C0026825,1
"Down Syndrome, Partial Trisomy 21","Hydrops Fetalis, Non-Immune",C0432416,C0455988,1
"Down Syndrome, Partial Trisomy 21",Psychomotor Impairment,C0432416,C5441816,1
Dracunculiasis,Body Weight,C0013100,C0005910,1
Dracunculiasis,Diarrhea,C0013100,C0011991,1
Dracunculiasis,Muscular Atrophy,C0013100,C0026846,1
Dracunculiasis,Nausea,C0013100,C0027497,1
Dracunculiasis,"Pain, Splitting",C0013100,C0458257,1
Dracunculiasis,"Paraplegia, Cerebral",C0013100,C0278114,1
Dracunculiasis,Sciatica,C0013100,C0036396,1
Dracunculiasis,Todd Paralysis,C0013100,C0234544,1
Drooling,Coughing,C0013132,C0010200,1
Drooling,"Dysarthria, Spastic",C0013132,C0454596,1
Drooling,Dysglossia,C0013132,C0751512,1
Drooling,Dystonia,C0013132,C0013421,1
Drooling,Hyperemesis Gravidarum,C0013132,C0020450,1
Drooling,Mouth Breathing,C0013132,C0026635,1
Drooling,Muscle Spasticity,C0013132,C0026838,1
Drooling,Pill Rolling Tremor,C0013132,C0751564,1
Drooling,Pseudobulbar Palsy,C0013132,C0033790,1
Drooling,Respiratory Aspiration,C0013132,C1720922,1
Drowning,Apnea,C0013142,C0003578,1
Drowning,Eye Hemorrhage,C0013142,C0015402,1
Drowning,Hyperventilation,C0013142,C0020578,1
Drowning,"Hypothermia, Accidental",C0013142,C0274285,1
Drowning,Nonepileptic Seizures,C0013142,C3495874,1
Drowning,Presyncope,C0013142,C0700200,1
Drowning,Psychogenic coma,C0013142,C0860634,1
Drowning,Respiratory Aspiration,C0013142,C1720922,1
Drowning,Unconscious State,C0013142,C0041657,1
Drowning,Vomiting,C0013142,C0042963,1
"Drug Abuse, Parenteral","Deafness, Sudden",C0086182,C1148477,1
"Drug Abuse, Parenteral",Fever,C0086182,C0015967,1
"Drug Abuse, Parenteral",Intermittent Claudication,C0086182,C0021775,1
"Drug Abuse, Parenteral",Mobility Limitation,C0086182,C1565249,1
