umls_code,term
C0035613,Rift Valley Fever
C0001752,African swine fever
C0009400,Colorado Tick Fever
C0019099,"Hemorrhagic Fever, Crimean"
C0043395,Yellow Fever
C0006274,"Bronchiolitis, Viral"
C0348165,Central Nervous System Viral Diseases
C0243010,Viral Encephalitis
C0001338,Herpetic Acute Necrotizing Encephalitis
C0153017,Varicella Zoster Encephalitis
C0023524,"Leukoencephalopathy, Progressive Multifocal"
C0038522,Subacute Sclerosing Panencephalitis
C0024266,Lymphocytic Choriomeningitis
C0025290,Aseptic Meningitis
C0026975,Myelitis
C0030481,Tropical Spastic Paraparesis
C0012922,DNA Virus Infections
C0001486,Adenovirus Infections
C0001487,"Adenovirus Infections, Human"
C0524909,"Hepatitis B, Chronic"
C0019372,Herpesviridae Infections
C0008049,Chickenpox
C0206178,Cytomegalovirus Retinitis
C0149678,Epstein-Barr Virus Infections
C4721444,Burkitt Leukemia
C0019348,Herpes Simplex Infections
C0019342,Genital Herpes
C0019345,Herpes Labialis
C0022504,Kaposi Varicelliform Eruption
C0019357,"Keratitis, Herpetic"
C0022570,"Keratitis, Dendritic"
C0038366,"Stomatitis, Herpetic"
C0019360,Herpes zoster disease
C0019364,Herpes Zoster Ophthalmicus
C0021334,Infectious Bovine Rhinotracheitis
C0276241,Malignant catarrhal fever
C0376549,Roseolovirus Infections
C0015231,Exanthema Subitum
C0950124,Disease due to Papilloma virus
C0009663,Condylomata Acuminata
C0276275,Disease due to Parvoviridae
C0085273,Erythema Infectiosum
C0026143,Milker's Nodes
C0010232,Cowpox
C0024106,Lumpy Skin Disease
C0276180,Monkeypox disease
C0001906,Variola Minor
C0042214,Vaccinia
C0015407,"Eye Infections, Viral"
C0009774,Viral Conjunctivitis
C0019195,"Hepatitis, Viral, Human"
C0085293,Hepatitis E
C0032310,"Pneumonia, Viral"
C0035690,RNA Virus Infections
C0282192,"Hemorrhagic Fever, Bolivian"
C0023092,Lassa Fever
C0376550,Astroviridae Infections
C0085933,"Infections, Bunyavirus"
C0242994,Hantavirus Infections
C0206044,"Infections, Calicivirus"
C0206608,Flavivirus Infections
C0024025,Louping Ill
C0006075,Bovine Virus Diarrhea-Mucosal Disease
C0019841,Classical Swine Fever
C0019104,"Hemorrhagic Fevers, Viral"
C0282687,"Hemorrhagic Fever, Ebola"
C0024788,Marburg Virus Disease
C0206613,Paramyxoviridae Infections
C0027983,Newcastle Disease
C0205740,Canine Distemper
C0025007,Measles
C0035637,Rinderpest
C3714630,Respirovirus Infections
C0026780,Mumps
C0014481,Ephemeral Fever
C0034494,Rabies (disorder)
C0376538,Porcine Reproductive and Respiratory Syndrome
C0206750,Coronavirus Infections
C1175175,Severe Acute Respiratory Syndrome
C0021400,Influenza
C0016627,Influenza in Birds
C0031887,Picornaviridae Infections
C0206617,Cardiovirus Infections
C0014378,Enterovirus Infections
C0010246,Coxsackievirus Infections
C0018572,"Hand, Foot and Mouth Disease"
C0032238,"Pleurodynia, Epidemic"
C0013533,Echovirus Infections
C0016514,Foot-and-Mouth Disease
C0035112,Reoviridae Infections
C0035869,Rotavirus Infections
C0035369,Retroviridae Infections
C0020097,HTLV-I Infections
C0014661,Equine Infectious Anemia
C0001849,AIDS Dementia Complex
C0019699,HIV Seropositivity
C0080151,Simian Acquired Immunodeficiency Syndrome
C0040361,Togaviridae Infections
C0919833,Ross river virus infection
C0035920,Rubella
C0162628,"Skin Diseases, Viral"
C0030357,"Papilloma, Shope"
C0042749,Viremia
C0752181,Central Nervous System Parasitic Infections
C5235044,Central Nervous System Cysticercosis
C0752191,Neuroschistosomiasis
C0751628,Malaria Meningitis
C0027585,"Infections, Nematomorpha"
C0037753,Sparganosis
C0013505,"Echinococcosis, Pulmonary"
C0038459,"Strongyle Infections, Equine"
C0040553,Toxocariasis
C0006897,Capillariasis
C2713585,Human Trichinellosis
C0040954,Infection by Trichuris trichiura
C0546999,"Larva Migrans, Cutaneous"
C0023049,"Larva Migrans, Visceral"
C0162576,Anisakiasis
C0003950,Ascariasis
C0086227,Enterobiasis
C0085810,Anguilluliasis
C0013755,Elaeophoriasis
C0013884,Filarial Elephantiases
C0023968,Loiasis
C3489414,Acanthocheilonema perstans Infection
C0029001,Onchocerciasis
C0162637,Strongylida Infections
C0006389,Bunostomiasis
C0009021,Clonorchiasis
C0030424,Paragonimiasis
C0036329,Schistosomiasis japonica
C0036330,Schistosomiasis mansoni
C0085313,Blastocystis Infections
C0010418,Cryptosporidiosis
C0013370,Amebic colitis
C0017536,Giardiasis
C0242723,Parasitemia
C0004576,Babesiosis
C0013467,East Coast Fever
C0040559,"Toxoplasmosis, Animal"
C0041230,"Trypanosomiasis, Bovine"
C0162494,"Pregnancy Complications, Parasitic"
C0033740,Protozoan Infections
C0014324,Entamoebiasis
C0005146,Besnoitiasis
C0343398,Cyclosporiasis
C0751562,"Toxoplasmosis, Fetal"
C0023281,Leishmaniasis
C0086540,"Leishmaniasis, New World"
C0041227,Trypanosomiasis
C0041234,Chagas Disease
C0024533,"Malaria, Avian"
C0005681,Blackwater Fever
C0024537,"Malaria, Vivax"
C0037280,"Skin Diseases, Parasitic"
C0030756,Lice Infestations
C0027030,Myiasis
C0020607,Hypodermyiasis
C0040196,Tick Infestations
C0021862,Intraosseous Ganglion
C0006281,Congenital bronchogenic cyst
C1257796,"Choledochal Cyst, Type II"
C0014511,Epithelial cyst
C0024248,Lymphocele
C0025060,Mediastinal Cyst
C0026683,Mucocele
C0029927,Ovarian Cysts
C0032460,Polycystic Ovary Syndrome
C0030283,Pancreatic Cyst
C0030299,Pancreatic Pseudocyst
C0031925,Pilonidal Cyst
C0041915,Urachal Cyst
C0018552,Hamartoma
C0041341,Tuberous Sclerosis
C0334663,Histiocytic sarcoma
C2004493,"Leukemia, B-Cell"
C0023434,Chronic Lymphocytic Leukemia
C0023464,Acute biphenotypic leukemia
C0023486,Prolymphocytic Leukemia
C0023493,Adult T-Cell Lymphoma/Leukemia
C0023452,Childhood Acute Lymphoblastic Leukemia
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
C0279543,Philadelphia chromosome positive chronic myelogenous leukemia
C0005699,Blast Phase
C0023474,"Leukemia, Myeloid, Chronic-Phase"
C0023479,Acute myelomonocytic leukemia
C0023480,"Leukemia, Myelomonocytic, Chronic"
C0023440,Acute Erythroblastic Leukemia
C0023462,Acute Megakaryocytic Leukemias
C0023465,Acute monocytic leukemia
C4721505,"Sarcoma, Myeloid"
C0205828,Cavernous lymphangioma
C0206620,"Lymphangioma, Cystic"
C0021071,Immunoproliferative Small Intestinal Disease
C0079731,B-Cell Lymphomas
C0085090,"Lymphoma, AIDS-Related"
C0242647,Mucosa-Associated Lymphoid Tissue Lymphoma
C0079744,Diffuse Large B-Cell Lymphoma
C0024307,Lymphomatoid Granulomatosis
C1956130,"Lymphoma, Follicular, Grade 1"
C0206180,Ki-1+ Anaplastic Large Cell Lymphoma
C4721414,Mantle cell lymphoma
C0079772,T-Cell Lymphoma
C1301362,Primary Cutaneous Anaplastic Large Cell Lymphoma
C0206182,Lymphomatoid Papulosis
C0026948,Mycosis Fungoides
C0079774,Peripheral T-Cell Lymphoma
C0026277,Mixed Salivary Gland Tumor
C0206623,Adenosquamous carcinoma
C0007140,Carcinosarcoma
C0007098,"Carcinoma 256, Walker"
C0027708,Nephroblastoma
C0206629,Pulmonary Blastoma
C0206743,Rhabdoid Tumor
C0206630,Endometrial Stromal Sarcoma
C0206633,Angiomyolipoma
C0023827,liposarcoma
C0206635,Myelolipoma
C0024899,Mastocytosis
C0042111,Urticaria Pigmentosa
C0221013,"Mastocytosis, Systemic"
C1266121,Myofibroma (morphologic abnormality)
C0029440,Osteoma
C0029441,Osteoid osteoma
C0029463,Osteosarcoma
C0205766,Myxofibroma
C0206646,"Fibromatosis, Abdominal"
C0016057,Fibrosarcoma
C1509147,Histiocytoma
C0206644,"Histiocytoma, Benign Fibrous"
C0206651,Clear Cell Sarcoma of Soft Tissue
C0039101,synovial sarcoma
C0027664,"Neoplasms, Muscle Tissue"
C0206654,Leiomyomatosis
C0035412,Rhabdomyosarcoma
C0206655,Alveolar rhabdomyosarcoma
C1261473,Sarcoma
C0018923,Hemangiosarcoma
C0010701,Phyllodes Tumor
C0036214,"Sarcoma, Engelbreth-Holm-Swarm"
C0036224,"Sarcoma, Yoshida"
C0027654,Embryonal Neoplasm
C0013377,Dysgerminoma
C0036631,Seminoma
C0025490,Mesonephroma
C0280783,Juvenile Pilocytic Astrocytoma
C0334588,Giant Cell Glioblastoma
C0280788,Anaplastic Ependymoma
C0206726,gliosarcoma
C0278510,Childhood Medulloblastoma
C0027819,Neuroblastoma
C0031941,Pineal Gland Neoplasm
C0751483,Familial Retinoblastoma
C0206754,Neuroendocrine Tumors
C0007095,Carcinoid Tumor
C0024586,Malignant Carcinoid Syndrome
C0007129,Merkel cell carcinoma
C0206735,"Melanoma, Amelanotic"
C0025205,"Melanoma, Experimental"
C0027859,Acoustic Neuroma
C0030421,Paraganglioma
C0030422,Extra-Adrenal Paraganglioma
C0007279,Carotid Body Paraganglioma
C0031511,Pheochromocytoma
C0020217,Hydatidiform Mole
C0027660,"Neoplasms, Glandular and Epithelial"
C0008309,Bile duct adenoma
C0206675,Adenomatoid Tumor
C2713442,"Polyposis, Adenomatous Intestinal"
C0010633,Cystadenoma
C0010635,"Cystadenoma, Mucinous"
C0025500,Mesothelioma
C0344452,Microprolactinoma
C0007120,Bronchioloalveolar Adenocarcinoma
C0007130,Mucinous Adenocarcinoma
C0001420,Papillary adenocarcinoma
C0021367,Mammary Ductal Carcinoma
C0887833,"Carcinoma, Pancreatic Ductal"
C0206692,"Carcinoma, Lobular"
C0345905,Intrahepatic Cholangiocarcinoma
C0206701,Serous Cystadenocarcinoma
C4721806,Skin Basal Cell Carcinoma
C0007125,"Carcinoma, Ehrlich Tumor"
C0878500,Intraepithelial Neoplasia
C0262584,"Carcinoma, Small Cell"
C0007138,"Carcinoma, Transitional Cell"
C0033822,Pseudomyxoma Peritonei
C0751688,Malignant Squamous Cell Neoplasm
C0030354,Papilloma
C0027665,"Neoplasms, Nerve Tissue"
C0917817,Neurofibromatosis 3
C0002985,Angiokeratoma
C0017653,Glomus Tumor
C0205789,"Hemangioma, Intramuscular"
C0018915,Hemangioendothelioma
C0206732,Epithelioid hemangioendothelioma
C0018920,"Hemangioma, Cavernous"
C0018922,hemangiopericytoma
C0000735,Abdominal Neoplasms
C0005967,Bone neoplasms
C0037305,Skull Neoplasms
C0024694,Mandibular Neoplasms
C0024954,Maxillary Neoplasms
C0037939,Spinal Neoplasms
C0242788,"Breast Neoplasms, Male"
C0751075,Cancer of Digestive System
C0750952,Biliary Tract Cancer
C0005396,Bile Duct Neoplasms
C0009442,Common Bile Duct Neoplasms
C0153452,Malignant neoplasm of gallbladder
C0496779,Malignant neoplasm of appendix
C0153436,Malignant neoplasm of sigmoid colon
C0279637,Anal carcinoma
C0541912,Duodenal Cancer
C0345836,Ileal Cancer
C0022374,Jejunal Neoplasms
C0023904,"Liver Neoplasms, Experimental"
C0001624,Adrenal Gland Neoplasms
C0001618,Tumors of Adrenal Cortex
C0027670,Paraneoplastic Endocrine Syndromes
C1720811,Tumor of Rete Testis
C0549473,Thyroid carcinoma
C0040137,Thyroid Nodule
C0496836,Malignant tumor of eye
C0024622,Malignant neoplasm of retina
C0017570,Gingival Neoplasms
C0023761,Lip Neoplasms
C0040411,Tongue Neoplasms
C0013449,Ear Neoplasms
C0030470,Paranasal Sinus Neoplasms
C0031347,Pharyngeal Neoplasms
C0153398,Hypopharyngeal Cancer
C0027439,Nasopharyngeal Neoplasms
C0751560,Malignant neoplasm tonsil
C0040582,Tracheal Neoplasms
C0282609,Bone Marrow Neoplasms
C0024668,"Mammary Neoplasms, Experimental"
C0751620,"Central Nervous System Neoplasms, Primary"
C0751238,Hypothalamic Cancer
C0752244,Rathke Cleft Cysts
C0393919,Paraneoplastic Autonomic Dysfunction
C0338430,Limbic Encephalitis
C0026976,"Myelitis, Transverse"
C0393534,Paraneoplastic Cerebellar Degeneration
C0751428,"Peripheral Nerve Neoplasms, Malignant"
C0030793,Pelvic Neoplasms
C0037579,Soft Tissue Neoplasms
C0282607,Vascular Neoplasms
C0153470,Malignant neoplasm of spleen
C0039981,Thoracic Neoplasms
C0006264,Bronchial Neoplasms
C0007121,Bronchogenic Carcinoma
C0748164,Multiple Pulmonary Nodules
C2350019,Solitary Pulmonary Nodule
C0032229,Pleural Neoplasms
C0080032,"Pleural Effusion, Malignant"
C0751569,Genitourinary Cancer
C0017416,"Genital Neoplasms, Female"
C0476089,Endometrial Carcinoma
C0007873,Uterine Cervical Neoplasm
C0375071,Malignant neoplasm of vulva
C0017417,"Genital Neoplasms, Male"
C0030849,Penile Neoplasms
C0153619,Malignant neoplasm of ureter
C0700101,Urethral Carcinoma
C0005695,Bladder Neoplasm
C0027661,"Neoplasms, Hormone-Dependent"
C0877578,Treatment related secondary malignancy
C0007622,"Cell Transformation, Viral"
C0162679,Leukemic Infiltration
C0027627,Neoplasm Metastasis
C0024232,Lymphatic Metastasis
C0027667,"Neoplasms, Unknown Primary"
C0027625,Circulating Neoplastic Cells
C0027644,"Neoplasm Regression, Spontaneous"
C0033027,Preleukemia
C0013336,Dwarfism
C0342200,Endemic Cretinism
C0017547,Gigantism
C3541456,"Spondyloepiphyseal Dysplasia Tarda, X-Linked"
C0020497,Cortical Congenital Hyperostosis
C0023931,Lobstein Disease
C3179239,Osteopetrosis Autosomal Dominant Type 2
C0029437,Idiopathic Multicentric Osteolyses
C0035579,Rickets
C0005974,Bone Resorption
C4721411,Osteolysis
C0014461,Eosinophilic Granuloma
C0029401,Osteitis Deformans
C0029412,"Osteoarthropathy, Secondary Hypertrophic"
C0027543,Avascular necrosis of bone
C0410480,Avascular Necrosis of Femur Head
C0037942,Spinal Osteophytosis
C0037944,Spinal Stenosis
C0949691,Spondylarthropathies
C0003872,"Arthritis, Psoriatic"
C0085700,Chondromalacia
C0032453,"Polychondritis, Relapsing"
C0009081,Congenital clubfoot
C0016510,Foot Diseases
C0022362,Jaw Diseases
C0018194,Giant Cell Granuloma
C1837218,"Cleft palate, isolated"
C0025990,Micrognathism
C0039494,Temporomandibular Joint Disorders
C0024950,Maxillary Diseases
C0003862,Arthralgia
C0037011,Shoulder Pain
C0971858,"Arthritis, Collagen-Induced"
C0035450,Rheumatoid Nodule
C0553730,Calcium pyrophosphate deposition disease
C0018099,Gout
C0003868,"Arthritis, Gouty"
C0031037,Periarthritis
C0003886,Arthrogryposis
C0158300,Adhesive Capsulitis
C0018924,Hemarthrosis
C0085433,"Joint Deformities, Acquired"
C0878705,Synovial Plica Syndrome
C0009492,Compartment syndromes
C0003152,Anterior Compartment Syndrome
C0085179,Eosinophilia-Myalgia Syndrome
C0231519,Gegenhalten
C0026838,Muscle Spasticity
C3542021,Duchenne and Becker Muscular Dystrophy
C0027126,Myotonic Dystrophy
C0751951,Central Core Myopathy (disorder)
C0027122,Myositis Ossificans
C0263984,Polymyositis Ossificans
C0035410,Rhabdomyolysis
C0039520,Tenosynovitis
C0265706,Gastroschisis
C0005395,Bile Duct Diseases
C0162510,Caroli Disease
C0008370,Cholestasis
C0005398,"Cholestasis, Extrahepatic"
C0008372,Intrahepatic Cholestasis
C0008311,Cholangitis
C0566602,Primary sclerosing cholangitis
C0009440,Common Bile Duct Diseases
C0005403,Bile Reflux
C0016977,Gall Bladder Diseases
C0267841,Acalculous Cholecystitis
C0149520,Acute Cholecystitis
C0521610,Emphysematous Cholecystitis
C0266015,Congenital digestive system anomalies
C0011981,Diaphragmatic Eventration
C0085758,"Aganglionosis, Colonic"
C0025037,Meckel Diverticulum
C0005417,Biliary Fistula
C0014856,Esophageal Fistula
C0040588,Tracheoesophageal Fistula
C0341318,Enterocutaneous Fistula
C0014852,Esophageal Diseases
C0014848,Esophageal Achalasia
C0017145,Gastric Varix
C0014860,Esophageal Perforation
C0014866,Esophageal Stenosis
C0017160,Gastroenteritis
C0003615,Appendicitis
C0162529,"Colitis, Ischemic"
C1257848,"Rectocolitis, Ulcerative"
C0012813,Diverticulitis
C0013369,Dysentery
C0014335,Enteritis
C3853541,Erosive Duodenitis
C0014356,Enterocolitis
C0520459,Necrotizing Enterocolitis
C0017155,"Gastritis, Hypertrophic"
C0021390,Inflammatory Bowel Diseases
C0333355,Inflammatory disease of mucous membrane
C0018932,Hematochezia
C0025222,Melena
C0030922,Peptic Ulcer Hemorrhage
C0009373,Colonic Diseases
C0009377,Colonic Pseudo-Obstruction
C0012819,Diverticular disease of colon
C0012814,Colonic Diverticulitis
C0025160,Megacolon
C0037072,Sigmoid Diseases
C0013289,Duodenal Diseases
C0013292,Duodenal Obstruction
C0030925,Peptic Ulcer Perforation
C0020875,Ileal Diseases
C0021843,Intestinal Obstruction
C1258215,Ileus
C0021847,Intestinal Pseudo-Obstruction
C0042961,Intestinal Volvulus
C0021845,Intestinal Perforation
C0022373,Jejunal Diseases
C0007570,Celiac Disease
C0022951,Lactose Intolerance
C0025472,Mesenteric Vascular Occlusion
C0687707,Anorectal Diseases
C0003462,Anus Diseases
C0038358,Gastric ulcer
C0038353,Gastric Dilatation
C0162651,Gastric outlet obstruction
C1541124,Pyloric obstruction
C0038357,Stomach Rupture
C0038359,Stomach Volvulus
C0751485,"Reye Syndrome, Adult"
C0333980,Focal Nodular Hyperplasia
C0085605,Liver Failure
C0751198,Hepatic Stupor
C0162557,"Liver Failure, Acute"
C0856761,Budd-Chiari Syndrome
C0019187,"Hepatitis, Alcoholic"
C0019188,"Hepatitis, Animal"
C0524611,Cryptogenic Chronic Hepatitis
C0241910,Autoimmune Chronic Hepatitis
C0019202,Hepatolenticular Degeneration
C0019209,Hepatomegaly
C0023891,"Liver Cirrhosis, Alcoholic"
C0023896,Alcoholic Liver Diseases
C0030781,Peliosis Hepatis
C0162565,Acute intermittent porphyria
C0030286,Pancreatic Diseases
C0001339,"Pancreatitis, Acute"
C0267941,Pancreatitis Necrotizing
C0031142,Peritoneal Diseases
C0008732,Chylous Ascites
C0025469,Mesenteric Lymphadenitis
C0030330,"Panniculitis, Peritoneal"
C1449646,Primary Peritonitis
C0032320,Pneumoperitoneum
C0524686,"Periodontitis, Acute Nonsuppurative"
C0282295,"Periodontitis, Apical, Chronic Nonsuppurative"
C0026636,Mouth Diseases
C0004943,Behcet Syndrome
C0023760,Lip Diseases
C0008924,Cleft upper lip
C0026633,Mouth Abnormalities
C0149745,Oral Ulcer
C0031090,Periodontal Diseases
C0017574,Gingivitis
C0031051,Pericementitis
C0036093,Salivary Gland Diseases
C0030579,Parotid Diseases
C0030583,Parotitis
C0037023,Sialadenitis
C0013132,Drooling
C0038557,Submandibular Gland Diseases
C1568868,Oral Mucositis
C0014518,Toxic Epidermal Necrolysis
C0086789,Periadenitis Mucosa Necrotica Recurrens
C0025988,Microglossia
C0017675,Glossitis
C0031345,Pharyngeal Diseases
C0027438,Nasopharyngeal Diseases
C0027441,Nasopharyngitis
C0031350,Pharyngitis
C0040425,Tonsillitis
C0524730,Odontome
C5442008,Enamel Agenesis
C0206554,Odontodysplasia
C0040435,Tooth Diseases
C0085511,Tooth Demineralization
C1707305,Carious Dentin
C0242891,Tooth Injuries
C0040460,Toothache
C0006261,Bronchial Diseases
C0006262,Bronchial Fistula
C0085129,Bronchial Hyperreactivity
C0006266,Bronchospasm
C0006267,Bronchiectasis
C0022521,Kartagener Syndrome
C0006277,Bronchitis
C0006271,Bronchiolitis
C2350875,Constrictive Bronchiolitis
C0242770,Bronchiolitis Obliterans Organizing Pneumonia
C0006285,Bronchopneumonia
C0018200,"Granuloma, Respiratory Tract"
C0023051,Laryngeal Diseases
C0023066,Laryngospasm
C0023067,Laryngitis
C2350036,Postintubation Croup
C2350173,"Congenital Cystic Adenomatoid Malformation, Type I"
C0085269,"Plasma Cell Granuloma, Pulmonary"
C0019079,Hemoptysis
C0020542,Pulmonary Hypertension
C2350529,Pulmonary Aspergillosis
C0276653,Invasive Pulmonary Aspergillosis
C0206061,"Pneumonia, Interstitial"
C0002390,Extrinsic allergic alveolitis
C0403529,Anti-Glomerular Basement Membrane Disease
C0019621,"Histiocytosis, Langerhans-Cell"
C1800706,Idiopathic Pulmonary Fibrosis
C0032273,Pneumoconiosis
C0003949,Asbestosis
C0006542,Byssinosis
C0037116,Silicosis
C0600260,"Lung Diseases, Obstructive"
C5690892,E-Cigarette or Vaping Product Use-Associated Lung Injury
C0242488,Acute Lung Injury
C0032241,Pleuropneumonia
C0032290,Aspiration Pneumonia
C0032298,"Pneumonia, Lipid"
C0034050,Pulmonary Alveolar Proteinosis
C0264499,Compression Pulmonary Atelectasis
C0034063,Pulmonary Edema
C0524702,Pulmonary Thromboembolisms
C0034074,Pulmonary Infarction
C0221227,Centriacinar Emphysema
C0264395,Swyer-James Syndrome
C0034068,Pulmonary Eosinophilia
C0034069,Pulmonary Fibrosis
C0035220,"Respiratory Distress Syndrome, Newborn"
C0028432,Nose Diseases
C0008297,Choanal Atresia
C0018197,"Granuloma, Lethal Midline"
C0027429,Nasal obstruction present finding
C0027430,Nasal Polyps
C0016735,Frontal Sinusitis
C0024959,Maxillary Sinusitis
C0037886,Sphenoid Sinusitis
C0035455,Rhinitis
C0035457,"Rhinitis, Allergic, Perennial"
C0032226,Pleural Diseases
C0020312,Hydrothorax
C0032227,Pleural effusion disorder
C0032326,Pneumothorax
C0035204,Respiration Disorders
C3887755,Mountain Sickness
C0003578,Apnea
C1956415,Paroxysmal nocturnal dyspnea
C0002064,"Alkalosis, Respiratory"
C0001127,"Acidosis, Respiratory"
C0001883,Airway Obstruction
C0035232,Respiratory Paralysis
C0035228,Respiratory Hypersensitivity
C0006288,Bronchopulmonary Sequestration
C0080107,Respiratory Tract Fistula
C1449809,Bovine Respiratory Disease Complex
C0014541,Epiglottitis
C0040584,Tracheitis
C0039978,Thoracic Diseases
C0025061,Mediastinal Diseases
C0025062,Mediastinal Emphysema
C0025064,Mediastinitis
C0040580,Tracheal Diseases
C0040583,Tracheal Stenosis
C0013447,Ear Diseases
C0013456,Earache
C0877848,Distorted hearing
C1384666,hearing impairment
C0086395,"Hearing Loss, Extreme"
C3665473,Bilateral Deafness
C1148477,"Deafness, Sudden"
C0751557,"Tinnitus, Tensor Palatini Induced"
C0022890,Labyrinthine disorder
C1527320,"Vertigo, Aural"
C0022893,Labyrinthitis
C0699744,Infection of ear
C0029882,Otitis Media
C0024904,Mastoiditis
C0029883,Otitis Media with Effusion
C5671289,Autoimmune Encephalitis
C0007795,Diffuse Cerebral Sclerosis of Schilder
C0014059,"Encephalomyelitis, Acute Disseminated"
C0014077,"Leukoencephalitis, Acute Hemorrhagic"
C0032587,Polyradiculoneuropathy
C3542501,Acute Infective Polyneuritis
C0393799,Miller Fisher Syndrome
C0699739,"Sensory Neuropathy, Hereditary"
C0393819,"Polyradiculoneuropathy, Chronic Inflammatory Demyelinating"
C0042170,Uveomeningoencephalitic Syndrome
C0018202,Granulomatous Angiitis
C0752332,"Lupus Vasculitis, Central Nervous System"
C0001519,Adie Syndrome
C0751203,"Horner Syndrome, Acquired"
C0037019,Shy-Drager Syndrome
C1535893,Orthostatic intolerance
C0001889,Akinetic Mutism
C1956233,"Hematoma, Basal Ganglia"
C0027849,Neuroleptic Malignant Syndrome
C0752097,Autosomal Dominant Juvenile Parkinson Disease
C0030569,Secondary Parkinson Disease
C0270730,MPTP Poisoning
C0917808,Vegetative State
C0006110,Brain Death
C0006112,"Brain Diseases, Metabolic"
C0752107,"Brain Diseases, Metabolic, Inherited"
C0751161,UDPglucose 4-epimerase deficiency disease
C2713319,Arylsulfatase A Deficiency
C0751748,Nonketotic Hyperglycinemia
C0751267,"Encephalopathy, Subacute Necrotizing, Infantile"
C0342751,Generalized glycogen storage disease of infants
C0002986,Fabry Disease
C0085131,Gangliosidosis GM1
C0022716,Menkes Kinky Hair Syndrome
C0342731,Deficiency of mevalonate kinase
C0031485,Phenylketonurias
C0393667,Extrapontine Myelinolysis
C0006114,Cerebral Edema
C0751801,"Cerebral Hematoma, Traumatic"
C0752219,Diffuse Axonal Injury
C0032268,Pneumocephalus
C0007760,Cerebellar Diseases
C0752120,Spinocerebellar Ataxia Type 1
C0393519,"Cerebellar Ataxia, Early Onset"
C0393953,Anterior Cerebral Circulation Infarction
C0740376,Middle Cerebral Artery Thrombosis
C0752304,Hypoxic-Ischemic Encephalopathy
C0751815,"Carotid Artery, Internal, Dissection"
C0007282,Carotid Stenosis
C0338586,Vertebral Artery Dissection
C0751587,CADASIL Syndrome
C0917996,Cerebral Aneurysm
C0007772,Intracranial Arteriovenous Malformation
C0877855,Cerebral Embolism and Thrombosis
C0007780,Cerebral Embolism
C0752143,Intracranial Thrombosis
C0751500,Petrous Sinus Thrombophlebitis
C0270638,Cavernous Sinus Thrombophlebitis
C0751827,Lateral Sinus Thrombophlebitis
C0751893,Posterior Fossa Hemorrhage
C0751797,"Intracranial Hematoma, Traumatic"
C0238154,"Hematoma, Epidural, Cranial"
C0018946,"Hematoma, Subdural"
C0749095,"Hematoma, Subdural, Chronic"
C0032001,Pituitary Apoplexy
C0751895,"Vasospasm, Intracranial"
C0022336,Creutzfeldt-Jakob disease
C0014070,Encephalomyelitis
C0025309,Meningoencephalitis
C0438414,Myoclonic Encephalopathy
C0270853,Juvenile Myoclonic Epilepsy
C0085417,"Epilepsy, Complex Partial"
C0376532,"Epilepsy, Rolandic"
C0014558,Uncinate Epilepsy
C0014549,Tonic-Clonic Epilepsy
C0546878,Nodding spasm
C3495874,Nonepileptic Seizures
C0751057,"Seizure, Febrile, Complex"
C0393734,Complex Partial Status Epilepticus
C0393735,Headache Disorders
C0154723,Migraine with Aura
C0751230,Hypothalamic Dysfunction Syndromes
C0023138,Laurence-Moon Syndrome
C0032002,Pituitary Diseases
C0020514,Hyperprolactinemia
C0021141,Inappropriate ADH Syndrome
C0995195,Anoxia of brain
C0151740,Intracranial Hypertension
C0151620,Hypertensive Encephalopathy
C0878576,Posterior Leukoencephalopathy Syndrome
C0033845,Pseudotumor Cerebri
C0038538,Subdural Effusion
C0025289,Meningitis
C0017495,Gerstmann-Straussler-Scheinker Disease
C0162635,Angelman Syndrome
C0454606,Oral Dyskinesia
C0393584,Benign Hereditary Chorea
C0751088,"Dyskinesia, Medication-Induced"
C0152116,Spasmodic torticollis
C0751553,Childhood Tic Disorders
C0155339,Brown Tendon Sheath Syndrome
C0751515,Post-Traumatic Myelopathy
C0752129,Experimental Spinal Cord Ischemia
C0751940,"Abducens Palsy, Childhood, Benign Recurrent"
C0270871,Facial Myokymia
C0344243,See-Saw Nystagmus
C0339693,Internal Ophthalmoplegia
C0751402,Optic Disk Disorders
C0029124,Optic Atrophy
C0524679,Neuropapillitis
C0919308,Decreased Intraocular Pressure-Associated Papilledema
C0497552,Congenital neurologic anomalies
C0752153,"Capillary Telangiectasia, Brain"
C5691433,Generalized Cortical Dysplasia
C0431349,Aprosencephaly
C0750929,"Arnold-Chiari Malformation, Type I"
C0393983,Hernia of cerebellar tonsil into foramen magnum
C1261470,Congenital meningocele
C0751316,Acquired Meningomyelocele
C0080174,Spina Bifida Occulta
C0022340,Late-Infantile Neuronal Ceroid Lipfuscinosis
C0007815,Cerebrospinal Fluid Rhinorrhea
C0751070,Decorticate State
C0004158,Athetosis
C0233612,Waxy flexibility
C0013421,Dystonia
C3887506,Hyperkinesia
C3887612,Psychomotor Agitation
C0751564,Pill Rolling Tremor
C0025287,Meningism
C0751512,Dysglossia
C0454596,"Dysarthria, Spastic"
C0026884,Mutism
C0233407,Disorientation
C0860634,Psychogenic coma
C0023380,Lethargy
C0002624,Retrograde amnesia
C0751157,FRAXE Syndrome
C0265222,Royer Syndrome
