MeSH Term,MeSH Code
Mesenteric Vascular Occlusion,D008641
Parvoviridae Infections,D010322
Nose Diseases,D009668
Heat Exhaustion,D006359
Diabetic Retinopathy,D003930
Hemangioendothelioma,D006390
Ochronosis,D009794
Hematemesis,D006396
Mouth Abnormalities,D009056
Marfan Syndrome,D008382
"Nevus, Pigmented",D009508
Skin Diseases,D012871
Blood Coagulation Disorders,D001778
Pelvic Inflammatory Disease,D000292
Immune Complex Diseases,D007105
Endometritis,D004716
"Granuloma, Pyogenic",D017789
Liddle Syndrome,D056929
Hypopituitarism,D007018
"Hyperostosis, Sternocostoclavicular",D015218
Rabies,D011818
Kashin-Beck Disease,D057767
Rhabdoid Tumor,D018335
Arterial Occlusive Diseases,D001157
Jejunal Diseases,D007579
Tauopathies,D024801
Keratoacanthoma,D007636
Facial Pain,D005157
Schizoid Personality Disorder,D012557
Apnea,D001049
Connective Tissue Diseases,D003240
Myotonia Congenita,D009224
AIDS-Related Opportunistic Infections,D017088
Patellofemoral Pain Syndrome,D046788
"Fractures, Stress",D015775
Post-Dural Puncture Headache,D051299
Intracranial Hypotension,D019585
Trichotillomania,D014256
"Osteosarcoma, Juxtacortical",D018217
"Hepatitis, Animal",D006520
Measles,D008457
"Pyruvate Metabolism, Inborn Errors",D015323
Hypothalamic Diseases,D007027
Cellulitis,D002481
Urologic Diseases,D014570
Heart Valve Diseases,D006349
Fetomaternal Transfusion,D005331
Meige Syndrome,D008538
Adrenocortical Adenoma,D018246
Hypoventilation,D007040
Angiofibroma,D018322
Pinealoma,D010871
Myocardial Reperfusion Injury,D015428
Thoracic Outlet Syndrome,D013901
Odontogenic Tumors,D009808
"Hepatitis, Chronic",D006521
Uterine Cervical Diseases,D002577
Carpal Tunnel Syndrome,D002349
Urinary Bladder Fistula,D001747
Porphyria Cutanea Tarda,D017119
Hepatoblastoma,D018197
"Abdomen, Acute",D000006
Aniseikonia,D000839
Ornithine Carbamoyltransferase Deficiency Disease,D020163
Labyrinthitis,D007762
Eyelid Diseases,D005141
Sinusitis,D012852
Cowpox,D015605
Visceral Prolapse,D014782
Color Vision Defects,D003117
"Shock, Surgical",D012773
Gambling,D005715
"Tongue, Fissured",D014063
Sporotrichosis,D013174
"Syphilis, Latent",D013592
Ancylostomiasis,D000724
"Tachycardia, Atrioventricular Nodal Reentry",D013611
Focal Infection,D005490
"Twins, Conjoined",D014428
"Epilepsy, Post-Traumatic",D004834
Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,D056648
Peripheral Arterial Disease,D058729
Melorheostosis,D008557
Osteosarcoma,D012516
Avitaminosis,D001361
Central Nervous System Infections,D002494
Hemangiosarcoma,D006394
Airway Obstruction,D000402
"Paralysis, Hyperkalemic Periodic",D020513
Body Weight Changes,D001836
"Hypoxia-Ischemia, Brain",D020925
Enoplida Infections,D017189
"Adenovirus Infections, Human",D000258
Wiskott-Aldrich Syndrome,D014923
Renal Artery Obstruction,D012078
Fetal Death,D005313
Pseudorabies,D011557
Mediastinal Cyst,D008476
"Anemia, Hypochromic",D000747
Mesothelioma,D008654
Friedreich Ataxia,D005621
Knee Dislocation,D031221
"T-Lymphocytopenia, Idiopathic CD4-Positive",D018344
Hymenolepiasis,D006925
"Polychondritis, Relapsing",D011081
Multicystic Dysplastic Kidney,D021782
Trombiculiasis,D014323
Polyneuropathies,D011115
"Cardiac Complexes, Premature",D005117
Emphysematous Cholecystitis,D041882
Hypercapnia,D006935
Athletic Injuries,D001265
Basal Ganglia Cerebrovascular Disease,D020144
Tumor Virus Infections,D014412
Nephrosclerosis,D009400
Malignant Catarrh,D008304
Vein of Galen Malformations,D054080
Azotemia,D053099
"Encephalitis, Varicella Zoster",D020804
Polyhydramnios,D006831
Dent Disease,D057973
beta-Mannosidosis,D044905
Mucopolysaccharidosis VII,D016538
Neurosyphilis,D009494
Wandering Spleen,D050805
"Paralysis, Obstetric",D010246
Pneumopericardium,D011026
Neurocysticercosis,D020019
Nervous System Neoplasms,D009423
Urachal Cyst,D014496
Melena,D008551
Prostatic Diseases,D011469
Shock,D012769
Catheter-Related Infections,D055499
Pleuropneumonia,D011001
Dystocia,D004420
Neuroaxonal Dystrophies,D019150
Hyperlipidemias,D006949
Turner Syndrome,D014424
Delayed Emergence from Anesthesia,D055191
Mastocytoma,D034801
Trigeminal Neuralgia,D014277
Theileriasis,D013801
Morning Sickness,D048968
Gastric Dilatation,D013271
"Lymphohistiocytosis, Hemophagocytic",D051359
"Dementia, Vascular",D015140
"Tuberculosis, Urogenital",D014401
Medullary Sponge Kidney,D007691
"Carcinoma, Krebs 2",D002287
Cranial Nerve Injuries,D020209
Munchausen Syndrome,D009110
Autoimmune Diseases,D001327
Exanthema,D005076
Echolalia,D004454
Dengue,D003715
Hydrarthrosis,D006833
Enterotoxemia,D004767
Cysts,D003560
"Pneumonia, Mycoplasma",D011019
Fibroma,D005350
Neutropenia,D009503
Hydranencephaly,D006832
Rupture,D012421
"Solitary Fibrous Tumor, Pleural",D054363
Moyamoya Disease,D009072
Bundle-Branch Block,D002037
Hantavirus Infections,D018778
African Swine Fever,D000357
Bronchial Spasm,D001986
Insulin Coma,D007331
Pruritus Vulvae,D011539
Epidermodysplasia Verruciformis,D004819
Gastrointestinal Stromal Tumors,D046152
Neural Tube Defects,D009436
Polyuria,D011141
Tooth Fractures,D014082
Out-of-Hospital Cardiac Arrest,D058687
"Skin Diseases, Bacterial",D017192
beta-Thalassemia,D017086
Pyoderma,D011711
"Carcinoma, Renal Cell",D002292
Thoracic Diseases,D013896
Susac Syndrome,D055955
"Polycystic Kidney, Autosomal Dominant",D016891
Ascariasis,D001196
Calcium Metabolism Disorders,D002128
"Pericarditis, Tuberculous",D010495
Tooth Attrition,D019217
Altitude Sickness,D000532
Hypergammaglobulinemia,D006942
Ectodermal Dysplasia,D004476
Porphyrias,D011164
Myotonic Dystrophy,D009223
Arrhythmogenic Right Ventricular Dysplasia,D019571
Intestinal Neoplasms,D007414
Menstruation Disturbances,D008599
"Stomatitis, Aphthous",D013281
Dermoid Cyst,D003884
Crohn Disease,D003424
Postoperative Complications,D011183
Epidermal Cyst,D004814
Fallopian Tube Diseases,D005184
Staphylococcal Scalded Skin Syndrome,D013206
Enterobacteriaceae Infections,D004756
Cysticercosis,D003551
Acute Coronary Syndrome,D054058
Rheumatic Heart Disease,D012214
Pyelonephritis,D011704
Rickets,D012279
Blast Crisis,D001752
Urethral Diseases,D014522
Community-Acquired Infections,D017714
Spinal Injuries,D013124
Eye Injuries,D005131
Keratosis,D007642
Eye Pain,D058447
Neurodegenerative Diseases,D019636
Tracheal Diseases,D014133
"Dermatitis, Seborrheic",D012628
"Epilepsy, Benign Neonatal",D020936
Urethral Stricture,D014525
Peri-Implantitis,D057873
Atrophy,D001284
Lichen Planus,D008010
Haemophilus Infections,D006192
Fetal Growth Retardation,D005317
Lipidoses,D008064
Creutzfeldt-Jakob Syndrome,D007562
Multiple Pulmonary Nodules,D055613
Hyperalgesia,D006930
Penile Neoplasms,D010412
Common Variable Immunodeficiency,D017074
Hypoprothrombinemias,D007020
Carbon Monoxide Poisoning,D002249
Craniopharyngioma,D003397
Halitosis,D006209
Radiculopathy,D011843
Neurotic Disorders,D009497
Phimosis,D010688
"Carcinoma 256, Walker",D002279
Urinoma,D053584
Pyometra,D055112
Fetal Resorption,D005327
Fibromuscular Dysplasia,D005352
Geographic Atrophy,D057092
Trichomonas Infections,D014245
"Cardiomyopathy, Hypertrophic, Familial",D024741
"Hyperostosis, Cortical, Congenital",D006958
Myxosarcoma,D009236
Urogenital Neoplasms,D014565
"Purine-Pyrimidine Metabolism, Inborn Errors",D011686
"Impotence, Vasculogenic",D018783
Fibrosarcoma,D005354
Argyria,D001129
Tremor,D014202
Psychomotor Disorders,D011596
Germinoma,D018237
Central Nervous System Venous Angioma,D020787
"Urea Cycle Disorders, Inborn",D056806
Transsexualism,D014189
Alopecia Areata,D000506
"Micronuclei, Chromosome-Defective",D048629
"Neoplastic Syndromes, Hereditary",D009386
"Myopathy, Central Core",D020512
Rectal Diseases,D012002
Cavernous Sinus Thrombosis,D020226
"Tachycardia, Sinus",D013616
Pallor,D010167
Scarlet Fever,D012541
Trematode Infections,D014201
Inflammatory Bowel Diseases,D015212
"Thyroiditis, Subacute",D013968
Endocardial Cushion Defects,D004694
Pelvic Organ Prolapse,D056887
Tricuspid Atresia,D018785
Toxoplasmosis,D014123
"Panniculitis, Peritoneal",D015436
Pituitary ACTH Hypersecretion,D047748
Nephritis,D009393
"Infertility, Female",D007247
Morphine Dependence,D009021
Temporomandibular Joint Disorders,D013705
Vulvovaginitis,D014848
Histiocytoma,D051642
Thecoma,D013798
Cryopyrin-Associated Periodic Syndromes,D056587
Paranoid Personality Disorder,D010260
Lymphogranuloma Venereum,D008219
Hemochromatosis,D006432
Trypanosomiasis,D014352
"Kidney Failure, Chronic",D007676
Dehydration,D003681
Facies,D019066
"Insomnia, Fatal Familial",D034062
Neuroleptic Malignant Syndrome,D009459
"Hernia, Diaphragmatic",D006548
Tay-Sachs Disease,D013661
Afibrinogenemia,D000347
Foodborne Diseases,D005517
Tick Paralysis,D013985
Systemic Vasculitis,D056647
Sialadenitis,D012793
Byssinosis,D002095
Sinus Pericranii,D020779
Anus Diseases,D001004
Fusobacterium Infections,D005674
Gagging,D005683
Prurigo,D011536
"Stress Disorders, Post-Traumatic",D013313
Cecal Diseases,D002429
Scalp Dermatoses,D012536
"Bronchitis, Chronic",D029481
"Shock, Hemorrhagic",D012771
Carbon Tetrachloride Poisoning,D002252
Tooth Ankylosis,D020254
"Hearing Loss, Unilateral",D046088
"Lymphoma, Follicular",D008224
Neurotoxicity Syndromes,D020258
Pulmonary Atresia,D018633
"Headache Disorders, Secondary",D051271
"Kidney Diseases, Cystic",D052177
Colles' Fracture,D003100
Nail-Patella Syndrome,D009261
Spinal Cord Ischemia,D020760
Multiple Endocrine Neoplasia Type 2b,D018814
Hodgkin Disease,D006689
"Fasciitis, Plantar",D036981
Neuroblastoma,D009447
"Anus, Imperforate",D001006
Anterior Spinal Artery Syndrome,D020759
Alopecia,D000505
"Amnesia, Anterograde",D020324
Hypophosphatemia,D017674
Retinal Detachment,D012163
Acrodynia,D000170
Vascular System Injuries,D057772
"Hyperparathyroidism, Secondary",D006962
Respirovirus Infections,D010253
Nerve Degeneration,D009410
"Lymphoma, T-Cell",D016399
"Liver Diseases, Parasitic",D008109
Actinobacillus Infections,D000189
Vaginal Discharge,D019522
Meningioma,D008579
Burns,D002056
Thyroid Neoplasms,D013964
Vitamin A Deficiency,D014802
"Limb Deformities, Congenital",D017880
Submandibular Gland Neoplasms,D013365
Bursitis,D002062
Appendicitis,D001064
"Ecthyma, Contagious",D004474
Somatosensory Disorders,D020886
"Goiter, Nodular",D006044
Respiratory Hypersensitivity,D012130
Blood Platelet Disorders,D001791
"Stomatitis, Denture",D013282
"Foramen Ovale, Patent",D054092
"Obstetric Labor, Premature",D007752
Graves Disease,D006111
Blastomycosis,D001759
Pleurisy,D010998
Aortic Valve Stenosis,D001024
Mucoepidermoid Tumor,D018298
"Osteoma, Osteoid",D010017
Refeeding Syndrome,D055677
Tracheobronchomegaly,D014137
"Carcinoma, Acinar Cell",D018267
Helminthiasis,D006373
Torticollis,D014103
Vesicovaginal Fistula,D014719
"Rhabdomyosarcoma, Embryonal",D018233
"Megacolon, Toxic",D008532
"Hearing Loss, Sensorineural",D006319
Progeria,D011371
Lichenoid Eruptions,D017512
Electric Injuries,D004556
Arbovirus Infections,D001102
Essential Tremor,D020329
Lymphomatoid Granulomatosis,D008230
Mycoses,D009181
DNA Repair-Deficiency Disorders,D049914
Psychophysiologic Disorders,D011602
"Encephalitis, Tick-Borne",D004675
Waldenstrom Macroglobulinemia,D008258
Leg Ulcer,D007871
"Urinary Incontinence, Stress",D014550
"Adenoma, Liver Cell",D018248
Radiation Pneumonitis,D017564
"Apraxia, Ideomotor",D020240
Somatostatinoma,D013005
Leukemia,D007938
Retinal Vasculitis,D031300
Glycogen Storage Disease Type II,D006009
Influenza in Birds,D005585
Extensively Drug-Resistant Tuberculosis,D054908
Maxillofacial Injuries,D008446
Hemarthrosis,D006395
"Neuroectodermal Tumor, Melanotic",D017600
Movement Disorders,D009069
Hypospadias,D007021
"Pregnancy Complications, Neoplastic",D011252
Taste Disorders,D013651
Bronchogenic Cyst,D001994
Herpes Simplex,D006561
Goldenhar Syndrome,D006053
Corneal Diseases,D003316
Tooth Demineralization,D017001
Trophoblastic Neoplasms,D014328
Lyme Neuroborreliosis,D020852
Solitary Fibrous Tumors,D054364
Dysthymic Disorder,D019263
"Thyroiditis, Suppurative",D013969
"Cell Transformation, Neoplastic",D002471
"Arthritis, Psoriatic",D015535
Denys-Drash Syndrome,D030321
Optic Nerve Neoplasms,D019574
Lesch-Nyhan Syndrome,D007926
Catastrophic Illness,D002388
"Glycosuria, Renal",D006030
"Fatty Liver, Alcoholic",D005235
Hepatorenal Syndrome,D006530
"Brucellosis, Bovine",D002007
Endocardial Fibroelastosis,D004695
Low Back Pain,D017116
Skin Ulcer,D012883
"Histiocytoma, Malignant Fibrous",D051677
Corneal Wavefront Aberration,D057108
"Lead Poisoning, Nervous System, Adult",D020265
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,D054218
"Skin Diseases, Vascular",D017445
Alstrom Syndrome,D056769
"Psychoses, Substance-Induced",D011605
Multiple Endocrine Neoplasia Type 1,D018761
Neurocutaneous Syndromes,D020752
"Scleroderma, Diffuse",D045743
"Cell Transformation, Viral",D002472
"Gonadal Dysgenesis, 46,XY",D006061
Glycogen Storage Disease Type IIb,D052120
Ischemia,D007511
Earache,D004433
Neurologic Manifestations,D009461
Clostridium Infections,D003015
Meningeal Carcinomatosis,D055756
"Adenocarcinoma, Scirrhous",D002293
Acanthamoeba Keratitis,D015823
Phenylketonurias,D010661
Splenic Diseases,D013158
"Mouth, Edentulous",D009066
Amelogenesis Imperfecta,D000567
"Sarcoidosis, Pulmonary",D017565
Trench Fever,D014205
Thrombocytosis,D013922
Rh Isoimmunization,D012203
"Helminthiasis, Animal",D006374
Granular Cell Tumor,D016586
Sandhoff Disease,D012497
Erythema Infectiosum,D016731
Radiodermatitis,D011855
Luteoma,D018311
Pupil Disorders,D011681
Duodenal Ulcer,D004381
"Muscular Disorders, Atrophic",D020966
Hot Flashes,D019584
Pelvic Neoplasms,D010386
Li-Fraumeni Syndrome,D016864
Alcohol Amnestic Disorder,D000425
Pica,D010842
Urologic Neoplasms,D014571
Breech Presentation,D001946
Anomia,D000849
Orbital Cellulitis,D054517
Churg-Strauss Syndrome,D015267
"Leprosy, Multibacillary",D056006
Calculi,D002137
"Aphasia, Broca",D001039
Machado-Joseph Disease,D017827
Dysostoses,D004413
Tennis Elbow,D013716
Coffin-Lowry Syndrome,D038921
Sertoli Cell-Only Syndrome,D054331
Erythrasma,D004894
"Neoplasms, Fibroepithelial",D018225
Kidney Papillary Necrosis,D007681
Diphtheria,D004165
"Liver Diseases, Alcoholic",D008108
Adrenal Cortex Diseases,D000303
REM Sleep Behavior Disorder,D020187
Dental Caries,D003731
Smoke Inhalation Injury,D015208
Sex Cord-Gonadal Stromal Tumors,D018312
Eosinophilic Granuloma,D004803
Hepatitis C,D006526
Emphysema,D004646
Arachnoiditis,D001100
Dumping Syndrome,D004377
Hyperandrogenism,D017588
Malignant Carcinoid Syndrome,D008303
Acute-Phase Reaction,D000210
"Arrhythmias, Cardiac",D001145
Infertility,D007246
"Ichthyosis, X-Linked",D016114
Milk Sickness,D018602
Retinal Telangiectasis,D058456
Postthrombotic Syndrome,D054070
Oligomenorrhea,D009839
"Alveolitis, Extrinsic Allergic",D000542
Cri-du-Chat Syndrome,D003410
"Pleural Effusion, Malignant",D016066
Chromosome Inversion,D007446
Peritonsillar Abscess,D000039
Hypersensitivity,D006967
Herpes Labialis,D006560
Dracunculiasis,D004320
Corneal Ulcer,D003320
Bardet-Biedl Syndrome,D020788
Fetal Weight,D020567
Cholangitis,D002761
Necrosis,D009336
Sagittal Sinus Thrombosis,D020225
Postoperative Hemorrhage,D019106
"Cholangitis, Sclerosing",D015209
Mouth Diseases,D009059
"Fractures, Malunited",D017759
"Colitis, Lymphocytic",D046730
"Encephalomyelitis, Venezuelan Equine",D004685
Hematocolpos,D006399
Buruli Ulcer,D054312
Epidural Abscess,D020802
Brachial Plexus Neuropathies,D020516
Decerebrate State,D003655
Hyperkalemia,D006947
Asperger Syndrome,D020817
Gastrointestinal Hemorrhage,D006471
Syringoma,D018252
Iris Diseases,D007499
Colic,D003085
Renal Colic,D056844
Ectoparasitic Infestations,D004478
"Liposarcoma, Myxoid",D018208
Pleural Neoplasms,D010997
Celiac Disease,D002446
"Hemorrhagic Fevers, Viral",D006482
Reoviridae Infections,D012088
Bacteremia,D016470
Hyperostosis,D015576
Spinal Neoplasms,D013125
"Death, Sudden, Cardiac",D016757
Multiple Endocrine Neoplasia,D009377
"Pemphigoid, Bullous",D010391
Hypokalemic Periodic Paralysis,D020514
Microcephaly,D008831
Mesenchymoma,D008637
"Dentin, Secondary",D003809
Furcation Defects,D017823
"Nervous System Autoimmune Disease, Experimental",D020721
Failed Back Surgery Syndrome,D055111
"Lysosomal Storage Diseases, Nervous System",D020140
"Granuloma, Foreign-Body",D015745
Brenner Tumor,D001948
"Headache Disorders, Primary",D051270
Eosinophilic Esophagitis,D057765
"Optic Atrophy, Hereditary, Leber",D029242
Choroidal Neovascularization,D020256
Uveoparotid Fever,D014608
Myotonia,D009222
"Dyslexia, Acquired",D004411
"Carcinoma, Non-Small-Cell Lung",D002289
"Lymphoma, Extranodal NK-T-Cell",D054391
Pheochromocytoma,D010673
Steatorrhea,D045602
Neurofibromatosis 2,D016518
Morbillivirus Infections,D018185
Aphonia,D001044
Porokeratosis,D017499
Catatonia,D002389
Toothache,D014098
Biliary Atresia,D001656
Autoimmune Lymphoproliferative Syndrome,D056735
"Anemia, Sickle Cell",D000755
Leg Injuries,D007869
Tracheomalacia,D055090
Diaper Rash,D003963
"Fructose Metabolism, Inborn Errors",D015318
"Carcinoma, Medullary",D018276
Folic Acid Deficiency,D005494
Blastocystis Infections,D016776
Leukorrhea,D007973
Ascaridida Infections,D017191
"Infarction, Middle Cerebral Artery",D020244
Neck Pain,D019547
Chronic Disease,D002908
"Lymphoma, T-Cell, Peripheral",D016411
"Fractures, Open",D005597
Mutism,D009155
"Sarcoma, Avian",D001357
"Anemia, Dyserythropoietic, Congenital",D000742
Encopresis,D004688
Pneumocephalus,D011007
Cytochrome-c Oxidase Deficiency,D030401
Glucose Intolerance,D018149
Pregnancy Complications,D011248
Mycoplasmatales Infections,D009180
Pseudopseudohypoparathyroidism,D011556
Dystonia,D004421
Purpura Fulminans,D055665
Brain Infarction,D020520
Mucopolysaccharidoses,D009083
"Lichen Planus, Oral",D017676
Masochism,D008398
"Pemphigus, Benign Familial",D016506
"Neoplasms, Mesothelial",D018301
Intracranial Arteriovenous Malformations,D002538
"Tuberculosis, Endocrine",D014383
"Graft Occlusion, Vascular",D006083
"Adenocarcinoma, Bronchiolo-Alveolar",D002282
Histiocytic Necrotizing Lymphadenitis,D020042
Status Epilepticus,D013226
Protein C Deficiency,D020151
Fissure in Ano,D005401
Keratoconjunctivitis Sicca,D007638
"Aging, Premature",D019588
Hoarseness,D006685
Amyotrophic Lateral Sclerosis,D000690
Neurofibrosarcoma,D018319
Capgras Syndrome,D002194
"Hyper-IgM Immunodeficiency Syndrome, Type 1",D053307
"Metabolism, Inborn Errors",D008661
Peanut Hypersensitivity,D021183
Lateral Medullary Syndrome,D014854
Exsanguination,D058734
Mitochondrial Diseases,D028361
Paratyphoid Fever,D010284
Chromosome Disorders,D025063
Balkan Nephropathy,D001449
Adenosarcoma,D018195
"Albinism, Oculocutaneous",D016115
Endotoxemia,D019446
Methemoglobinemia,D008708
Homocystinuria,D006712
Erythema,D004890
Anal Gland Neoplasms,D000694
Hypercalciuria,D053565
Anastomotic Leak,D057868
"Neuroectodermal Tumors, Primitive",D018242
Piriformis Muscle Syndrome,D055958
"Rhinitis, Allergic, Perennial",D012221
Torsades de Pointes,D016171
Spondylolisthesis,D013168
Silicotuberculosis,D012830
Hypoglossal Nerve Diseases,D020437
"Lymphoma, Non-Hodgkin",D008228
Lethargy,D053609
"Hyperkeratosis, Epidermolytic",D017488
Stiff-Person Syndrome,D016750
Gangrene,D005734
"Epilepsy, Reflex",D020195
Sacroiliitis,D058566
"Lymphoma, T-Cell, Cutaneous",D016410
Lip Neoplasms,D008048
"Seizures, Febrile",D003294
"Granuloma, Respiratory Tract",D015769
"Tuberculosis, Spinal",D014399
Rotavirus Infections,D012400
Angiokeratoma,D000794
Sinoatrial Block,D012848
Scleral Diseases,D015422
"Fractures, Closed",D005596
"Embolism, Amniotic Fluid",D004619
Coronary Disease,D003327
Aphakia,D001035
Neonatal Abstinence Syndrome,D009357
Poliomyelitis,D011051
Oral Submucous Fibrosis,D009914
"Osteolysis, Essential",D010015
"Leukemia, Erythroblastic, Acute",D004915
Aortic Diseases,D001018
Frontotemporal Lobar Degeneration,D057174
Short Rib-Polydactyly Syndrome,D012779
"Tooth, Nonvital",D019553
Acalculous Cholecystitis,D042101
Intermittent Claudication,D007383
Whiplash Injuries,D014911
Tracheitis,D014136
Meningitis,D008581
"Histiocytosis, Non-Langerhans-Cell",D015616
"Adenoma, Acidophil",D000239
Gastric Fistula,D005747
Proteus Syndrome,D016715
Antisocial Personality Disorder,D000987
"Keratoconjunctivitis, Infectious",D007639
Precancerous Conditions,D011230
Wheat Hypersensitivity,D021182
Corneal Endothelial Cell Loss,D055954
Hypoplastic Left Heart Syndrome,D018636
Malabsorption Syndromes,D008286
Cockayne Syndrome,D003057
Schistosomiasis mansoni,D012555
Waterhouse-Friderichsen Syndrome,D014884
Adenoma,D000236
Legionellosis,D007876
Empyema,D004653
Cogan Syndrome,D055952
Lafora Disease,D020192
Nephrocalcinosis,D009397
Nephrosis,D009401
Latent Tuberculosis,D055985
"Asthma, Aspirin-Induced",D055963
Lyme Disease,D008193
Polyradiculopathy,D011128
Mandibular Neoplasms,D008339
Hepatomegaly,D006529
Cervical Rib Syndrome,D002573
Pseudobulbar Palsy,D020828
"Meningitis, Meningococcal",D008585
"Liver Cirrhosis, Biliary",D008105
Deglutition Disorders,D003680
"Tuberculosis, Central Nervous System",D020306
Dysmenorrhea,D004412
Anovulation,D000858
Systolic Murmurs,D054160
Communication Disorders,D003147
Hand Injuries,D006230
Takotsubo Cardiomyopathy,D054549
Plasmacytoma,D010954
XYY Karyotype,D014997
Caroli Disease,D016767
Laron Syndrome,D046150
"Panniculitis, Lupus Erythematosus",D015435
Olfaction Disorders,D000857
Adnexal Diseases,D000291
Distal Myopathies,D049310
"Nevus, Blue",D018329
"Abnormalities, Multiple",D000015
Whipple Disease,D008061
Arteriovenous Malformations,D001165
"Spherocytosis, Hereditary",D013103
Epidermolysis Bullosa Simplex,D016110
Hyperplasia,D006965
Epididymitis,D004823
Sexually Transmitted Diseases,D012749
"Muscular Dystrophy, Facioscapulohumeral",D020391
Prognathism,D011378
Blepharitis,D001762
Snoring,D012913
Vocal Cord Paralysis,D014826
"Paraparesis, Tropical Spastic",D015493
Gastrointestinal Neoplasms,D005770
"Myasthenia Gravis, Neonatal",D020941
"Esophagitis, Peptic",D004942
"Lymphoma, B-Cell, Marginal Zone",D018442
Nephrolithiasis,D053040
Restless Legs Syndrome,D012148
Hallux Limitus,D020857
Vaginal Diseases,D014623
Chickenpox,D002644
"Lymphoma, Mantle-Cell",D020522
Monoclonal Gammopathy of Undetermined Significance,D008998
"Amyloidosis, Familial",D028226
Herpangina,D006557
"Tuberculoma, Intracranial",D016862
Abdominal Injuries,D000007
Endometrial Stromal Tumors,D036821
Cerebral Hemorrhage,D002543
Keratoconjunctivitis,D007637
Picornaviridae Infections,D010850
Yersinia Infections,D015009
"Sarcoma, Experimental",D012513
"Mammary Neoplasms, Animal",D015674
Back Injuries,D019567
Hashimoto Disease,D050031
Heart Block,D006327
Actinomycetales Infections,D000193
Ureteral Obstruction,D014517
Osteochondroma,D015831
Blepharospasm,D001764
"Stress Disorders, Traumatic, Acute",D040701
Cryoglobulinemia,D003449
"Aphasia, Conduction",D018886
Polyradiculoneuropathy,D011129
Granulosa Cell Tumor,D006106
Dextrocardia,D003914
Chalazion,D017043
Treponemal Infections,D014211
Accelerated Idioventricular Rhythm,D016170
Platybasia,D010985
"Aortic Aneurysm, Abdominal",D017544
Cervical Intraepithelial Neoplasia,D018290
Neuromyelitis Optica,D009471
Headache Disorders,D020773
Hypothalamic Neoplasms,D007029
Retinal Neovascularization,D015861
"Hernia, Hiatal",D006551
Antithrombin III Deficiency,D020152
"Hearing Loss, Central",D006313
"Mineralocorticoid Excess Syndrome, Apparent",D043204
Osteosclerosis,D010026
Pulmonary Infarction,D054060
Crush Syndrome,D003444
"Anemia, Megaloblastic",D000749
"Keratosis, Actinic",D055623
Hajdu-Cheney Syndrome,D031845
"Encephalomyelitis, Equine",D004683
Chlamydophila Infections,D023521
Tinea Pedis,D014008
Rhabdomyolysis,D012206
Listeriosis,D008088
Foot Injuries,D018409
"Bulbo-Spinal Atrophy, X-Linked",D055534
Varicocele,D014646
Diabetic Ketoacidosis,D016883
Enteritis,D004751
Bronchiolitis,D001988
Bronchopneumonia,D001996
"Myoclonic Epilepsy, Juvenile",D020190
Hepatitis D,D003699
Posterior Leukoencephalopathy Syndrome,D054038
"Myopathies, Structural, Congenital",D020914
"Arthritis, Rheumatoid",D001172
Diphyllobothriasis,D004169
Eisenmenger Complex,D004541
Acute Generalized Exanthematous Pustulosis,D056150
Coronary Artery Disease,D003324
Sarcoma 37,D012511
Mouth Breathing,D009058
Hydrocephalus,D006849
"Heart Septal Defects, Atrial",D006344
Rickettsiaceae Infections,D012288
Sweat Gland Diseases,D013543
Lipid Metabolism Disorders,D052439
"Tuberculosis, Multidrug-Resistant",D018088
Entamoebiasis,D004749
Hemorrhage,D006470
"Tachycardia, Paroxysmal",D013614
Uterine Diseases,D014591
Flank Pain,D021501
"Encephalitis, St. Louis",D004674
Thromboangiitis Obliterans,D013919
Breast Neoplasms,D001943
Tetanus,D013742
Biliary Tract Diseases,D001660
Echinococcosis,D004443
Galactorrhea,D005687
Bone Malalignment,D017760
Cystocele,D052858
Bradycardia,D001919
Coronary Vasospasm,D003329
"Diverticulosis, Esophageal",D045723
Alveolar Bone Loss,D016301
Behcet Syndrome,D001528
Uterine Perforation,D014595
"Cystitis, Interstitial",D018856
Fascioliasis,D005211
Hypothyroidism,D007037
"Osteoarthropathy, Secondary Hypertrophic",D010005
"Hyperparathyroidism, Primary",D049950
Cleidocranial Dysplasia,D002973
"Infertility, Male",D007248
Neuroendocrine Tumors,D018358
Choroid Hemorrhage,D002832
"Abnormalities, Drug-Induced",D000014
"Anemia, Iron-Deficiency",D018798
Laryngostenosis,D007829
Necrobiotic Disorders,D017441
Laurence-Moon Syndrome,D007849
Lupus Vulgaris,D008177
Bartter Syndrome,D001477
Fluoride Poisoning,D005458
Self Mutilation,D012652
Hemophilia A,D006467
Pancreatic Neoplasms,D010190
Lumpy Skin Disease,D008166
"Pneumonia, Staphylococcal",D011023
Pseudohypoaldosteronism,D011546
Lutembacher Syndrome,D008185
Gilbert Disease,D005878
"Osteoarthropathy, Primary Hypertrophic",D010004
Odontogenic Cysts,D009807
Prostatic Intraepithelial Neoplasia,D019048
Osteoblastoma,D018215
Hepatitis A,D006506
"Blood Coagulation Disorders, Inherited",D025861
"Tuberculosis, Lymph Node",D014388
Photophobia,D020795
Encephalomalacia,D004678
Rectal Fistula,D012003
"Amyloid Neuropathies, Familial",D028227
"Lipid Metabolism, Inborn Errors",D008052
